rank,candidate_id,score,evidence_only,semantic_score,semantic_model,current_title,current_company,years,location,country,career_core,relevant_roles,relevant_months,total_months,title_relevant,experience_fit,location_fit,behavior_fit,notice_fit,job_stability,title_trajectory,skill_corroboration,keyword_stuffer,consulting_only,cv_only,research_only,negative_flags,anomaly_flags,anomaly_action,top_concepts,reasoning,strengths,concerns,skills,career_summary
26,CAND_0005260,0.9163902587242203,0.9454226228650251,0.8292931663018059,local-sentence-transformer,Senior NLP Engineer,Netflix,5.2,"Chennai, Tamil Nadu",India,11,2,61,61,True,0.88,0.82,0.6768368437626203,0.75,1.0,0.5,0.2,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;candidate-role matching,"5.2 years; Senior NLP Engineer at Netflix. Strongest evidence: Senior NLP Engineer at Yellow.ai: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Also, Senior NLP Engineer at Netflix: Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior NLP Engineer at Yellow.ai: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior NLP Engineer at Netflix: Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores | relevant work spans 2 roles and about 5 years",60-day notice period,"Statistical Modeling, MLOps, Snowflake, Prompt Engineering, Information Retrieval, Speech Recognition, Semantic Search, Deep Learning, Python, NLP","Senior NLP Engineer at Netflix: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re | Senior NLP Engineer at Yellow.ai: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an"
27,CAND_0071974,0.9097349073795993,0.9330539666666667,0.8397777295183972,local-sentence-transformer,Senior AI Engineer,Netflix,7.8,"Vizag, Andhra Pradesh",India,9,3,92,92,True,1.0,0.58,0.8674466666666667,0.75,1.0,0.375,0.6,False,False,False,False,,,none,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"Netflix role Senior AI Engineer; 7.8 years total. Relevant fit comes from Senior AI Engineer at Netflix: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal. Additional evidence: Staff Machine Learning Engineer at Meta: Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Main concern: 45-day notice period. Semantic retrieval aligns the profile with production scale and operations, semantic retrieval and information retrieval, and end-to-end ownership.","Senior AI Engineer at Netflix: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal | Staff Machine Learning Engineer at Meta: Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores | evaluation evidence: The hardest part wasn't the ML - it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement",45-day notice period,"LoRA, Learning to Rank, Weaviate, PEFT, BM25, Pinecone, Machine Learning, Information Retrieval, Qdrant, Embeddings","Senior AI Engineer at Netflix: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Staff Machine Learning Engineer at Meta: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re | Staff Machine Learning Engineer at Mad Street Den: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix fact"
28,CAND_0027691,0.9083012405843749,0.9483661666666666,0.7881064623375,local-sentence-transformer,NLP Engineer,Haptik,6.5,"Pune, Maharashtra",India,10,2,49,76,True,1.0,1.0,0.7656999999999999,1.0,1.0,0.5,0.8,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"6.5 years in the profile and currently NLP Engineer at Haptik. Key career evidence is Applied ML Engineer at Vedantu: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. The profile also shows AI Engineer at Meta: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Overall fit is strong for product ML ownership and ranking evaluation. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Applied ML Engineer at Vedantu: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | AI Engineer at Meta: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 2 roles and about 4 years",,"SAP, LoRA, PEFT, Recommendation Systems, Statistical Modeling, Weaviate, scikit-learn, Marketing, Embeddings, Learning to Rank","NLP Engineer at Haptik: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Applied ML Engineer at Vedantu: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | AI Engineer at Meta: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
29,CAND_0044222,0.8982658572015009,0.9202647333333331,0.8322692288060041,local-sentence-transformer,AI Engineer,PolicyBazaar,7.7,"Vizag, Andhra Pradesh",India,10,2,92,92,True,1.0,0.58,0.8553733333333334,0.75,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"PolicyBazaar role AI Engineer; 7.7 years total. Relevant fit comes from AI Engineer at PolicyBazaar: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: AI Engineer at InMobi: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","AI Engineer at PolicyBazaar: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | AI Engineer at InMobi: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | relevant work spans 2 roles and about 7 years",60-day notice period,"Vector Search, LlamaIndex, OpenSearch, Java, Qdrant, Feature Engineering, Time Series, Weaviate, Content Writing, NLP","AI Engineer at PolicyBazaar: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | AI Engineer at InMobi: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga"
30,CAND_0070398,0.8963384542802781,0.9235302715564269,0.814763002451832,local-sentence-transformer,Machine Learning Engineer,Genpact AI,7.2,"Kochi, Kerala",India,10,3,85,85,True,1.0,0.82,0.7863887111360082,0.25,1.0,0.5,0.8,False,False,False,False,,,none,ranking evaluation and experimentation;production scale and operations;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Genpact AI role Machine Learning Engineer; 7.2 years total. Relevant fit comes from Machine Learning Engineer at Genpact AI: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: Applied ML Engineer at Uber: Developed a semantic search feature for an internal knowledge base of ~500K documents. Main concern: 120-day notice period.","Machine Learning Engineer at Genpact AI: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Applied ML Engineer at Uber: Developed a semantic search feature for an internal knowledge base of ~500K documents | relevant work spans 3 roles and about 7 years",120-day notice period,"Image Classification, Data Science, BM25, RAG, FAISS, Object Detection, Embeddings, PyTorch, LoRA, Python","Machine Learning Engineer at Genpact AI: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Applied ML Engineer at Uber: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Machine Learning Engineer at Mad Street Den: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga"
31,CAND_0013613,0.8946692498315344,0.9318170333333335,0.783225899326137,local-sentence-transformer,Machine Learning Engineer,Adobe,4.7,Singapore,Singapore,12,3,55,55,True,0.62,0.05,0.7464866666666665,0.75,0.8583333333333333,0.5,0.4,False,False,False,False,,skill_duration_exceeds_profile_experience:penalize,penalize,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Machine Learning Engineer at Adobe, with 4.7 years of experience. The rank is driven by Machine Learning Engineer at Adobe: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Applied ML Engineer at Salesforce: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Machine Learning Engineer at Adobe: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Applied ML Engineer at Salesforce: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | relevant work spans 3 roles and about 4 years",60-day notice period | location/relocation fit is weak,"Speech Recognition, LoRA, Computer Vision, TensorFlow, Object Detection, Weaviate, Statistical Modeling, MLflow, Sentence Transformers, scikit-learn","Machine Learning Engineer at Adobe: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Senior Data Scientist at Razorpay: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Applied ML Engineer at Salesforce: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo"
32,CAND_0062247,0.8888704937877767,0.9139343809581185,0.8136788322767516,local-sentence-transformer,AI Engineer,Google,7.3,"Kochi, Kerala",India,10,2,87,87,True,1.0,0.82,0.8322204083271953,1.0,1.0,0.5,0.8,False,False,False,False,,,none,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization;vector search infrastructure,"7.3 years in the profile and currently AI Engineer at Google. Key career evidence is AI Engineer at Google: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. The profile also shows NLP Engineer at Dream11: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Overall fit is strong for product ML ownership and ranking evaluation. Semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization.","AI Engineer at Google: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | NLP Engineer at Dream11: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization",,"Image Classification, OpenCV, Reinforcement Learning, ASR, Pinecone, Vector Search, Qdrant, RAG, Computer Vision, PEFT","AI Engineer at Google: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | NLP Engineer at Dream11: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
33,CAND_0093912,0.8863525079112373,0.910011,0.8153770316449493,local-sentence-transformer,Senior Data Scientist,Razorpay,5.3,"Chandigarh, Chandigarh",India,10,3,62,62,True,0.88,0.58,0.9092666666666667,1.0,1.0,0.625,0.8,False,False,False,False,,,none,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization;vector search infrastructure,"5.3 years; Senior Data Scientist at Razorpay. Strongest evidence: Search Engineer at Flipkart: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Also, Senior Data Scientist at Razorpay: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. This fits the hands-on search/ranking and evaluation mandate. Semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization.","Search Engineer at Flipkart: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Senior Data Scientist at Razorpay: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization",,"Feature Engineering, SAP, CNN, Milvus, Embeddings, Recommendation Systems, Vector Search, Haystack, Sales, Learning to Rank","Senior Data Scientist at Razorpay: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Search Engineer at Flipkart: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | AI Engineer at Apple: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
34,CAND_0050454,0.8752963008157031,0.9044633333333334,0.7877952032628119,local-sentence-transformer,AI Engineer,Rephrase.ai,6.8,"Delhi, Delhi",India,10,3,81,81,True,1.0,1.0,0.7913333333333334,1.0,1.0,0.5,0.6,False,False,False,False,,,none,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization;vector search infrastructure,"Rephrase.ai role AI Engineer; 6.8 years total. Relevant fit comes from AI Engineer at Rephrase.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: Machine Learning Engineer at Adobe: Developed a semantic search feature for an internal knowledge base of ~500K documents. Rank is based on shipped retrieval/ranking work rather than skill-list claims.","AI Engineer at Rephrase.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Machine Learning Engineer at Adobe: Developed a semantic search feature for an internal knowledge base of ~500K documents | semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization",,"PyTorch, LangChain, QLoRA, Fine-tuning LLMs, FAISS, Qdrant, Image Classification, scikit-learn, Feature Engineering, LoRA","AI Engineer at Rephrase.ai: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Machine Learning Engineer at Uber: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Machine Learning Engineer at Adobe: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
35,CAND_0018722,0.8699244648663319,0.8836158,0.8288504594653275,local-sentence-transformer,Recommendation Systems Engineer,Saarthi.ai,6.6,Toronto,Canada,10,3,78,78,True,1.0,0.3,0.8985466666666667,0.5,1.0,0.5,0.4,False,False,False,False,,,none,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"Saarthi.ai role Recommendation Systems Engineer; 6.6 years total. Relevant fit comes from Recommendation Systems Engineer at Saarthi.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: Machine Learning Engineer at Unacademy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 90-day notice period. Semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership.","Recommendation Systems Engineer at Saarthi.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Machine Learning Engineer at Unacademy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership",90-day notice period | location/relocation fit is weak,"Data Science, Weaviate, Python, Recommendation Systems, PowerPoint, LLMs, TensorFlow, Hugging Face Transformers, SEO, YOLO","Recommendation Systems Engineer at Saarthi.ai: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Machine Learning Engineer at Unacademy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Applied ML Engineer at Swiggy: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
36,CAND_0088025,0.8695729542409268,0.8961735999999999,0.7897710169637079,local-sentence-transformer,Staff Machine Learning Engineer,Yellow.ai,8.6,"Jaipur, Rajasthan",India,8,3,102,102,True,0.88,0.58,0.9396266666666667,0.5,1.0,0.625,0.8,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Staff Machine Learning Engineer at Yellow.ai, with 8.6 years of experience. The rank is driven by Senior Machine Learning Engineer at Genpact AI: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38%. Supporting signal: Staff Machine Learning Engineer at Yellow.ai: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.",Senior Machine Learning Engineer at Genpact AI: The final embedding ranker improved recruiter engagement metrics by 24% and reduced the average time-to-shortlist by 38% | Staff Machine Learning Engineer at Yellow.ai: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing - embedding generation (using a fine-tuned BGE-large) - Pinecone retrieval - learning-to-rank re-scoring (XGBoost) - behavioral-signal | relevant work spans 3 roles and about 8 years,90-day notice period,"Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG, SAP, TensorFlow, LoRA, Flask, Prompt Engineering",Staff Machine Learning Engineer at Yellow.ai: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Staff Machine Learning Engineer at Niramai: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-s | Senior Machine Learning Engineer at Genpact AI: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker variants and ran them in A/B testing alongside the legacy 
37,CAND_0039383,0.8640430982551585,0.8817742333333332,0.8108496930206345,local-sentence-transformer,Applied ML Engineer,Meesho,7.1,"Gurgaon, Haryana",India,10,3,84,84,True,1.0,1.0,0.7830733333333334,0.5,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"7.1 years in the profile and currently Applied ML Engineer at Meesho. Key career evidence is Machine Learning Engineer at Swiggy: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. The profile also shows Applied ML Engineer at Meesho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Machine Learning Engineer at Swiggy: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Applied ML Engineer at Meesho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | relevant work spans 3 roles and about 7 years",90-day notice period,"GANs, FAISS, ASR, Kubeflow, Recommendation Systems, Hugging Face Transformers, QLoRA, Feature Engineering, NLP, LoRA","Applied ML Engineer at Meesho: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Machine Learning Engineer at Swiggy: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | NLP Engineer at Paytm: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga"
38,CAND_0070485,0.8556863527533585,0.8717478,0.8075020110134343,local-sentence-transformer,Search Engineer,Saarthi.ai,6.4,"Coimbatore, Tamil Nadu",India,10,2,76,76,True,1.0,0.58,0.7377466666666667,0.25,1.0,0.5,0.4,False,False,False,False,,,none,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization;vector search infrastructure,"Search Engineer at Saarthi.ai, with 6.4 years of experience. The rank is driven by Search Engineer at Saarthi.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Machine Learning Engineer at Dream11: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 120-day notice period. Semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization.","Search Engineer at Saarthi.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Machine Learning Engineer at Dream11: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization",120-day notice period,"Kubernetes, Haystack, PEFT, FAISS, GCP, SQL, Forecasting, Deep Learning, Recommendation Systems, QLoRA","Search Engineer at Saarthi.ai: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Machine Learning Engineer at Dream11: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
39,CAND_0051630,0.8549968695282572,0.8762315666666666,0.791292778113029,local-sentence-transformer,Machine Learning Engineer,Razorpay,6.0,"Kolkata, West Bengal",India,10,2,71,71,True,1.0,0.58,0.58014,0.5,1.0,0.5,0.6,False,False,False,False,,,none,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization;vector search infrastructure,"Razorpay role Machine Learning Engineer; 6.0 years total. Relevant fit comes from AI Engineer at InMobi: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: Machine Learning Engineer at Razorpay: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 90-day notice period. Semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization.","AI Engineer at InMobi: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Machine Learning Engineer at Razorpay: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | semantic retrieval aligns the profile with semantic retrieval and information retrieval, end-to-end ownership, and ranking and relevance optimization",90-day notice period,"Elasticsearch, Hugging Face Transformers, BentoML, MLflow, Embeddings, Recommendation Systems, Machine Learning, Python, NLP, Excel","Machine Learning Engineer at Razorpay: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | AI Engineer at InMobi: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
40,CAND_0005538,0.8547275611413548,0.8812259999999998,0.7752322445654197,local-sentence-transformer,Senior AI Engineer,Adobe,5.9,"Kolkata, West Bengal",India,9,4,69,69,True,0.88,0.58,0.8999333333333333,0.5,0.9375,0.5,0.2,False,False,False,False,research_only,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Adobe role Senior AI Engineer; 5.9 years total. Relevant fit comes from Senior AI Engineer at Adobe: Led the engineering team building infrastructure to surface relevant content to users at scale. Additional evidence: Lead AI Engineer at Glance: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior AI Engineer at Adobe: Led the engineering team building infrastructure to surface relevant content to users at scale | Lead AI Engineer at Glance: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months | relevant work spans 4 roles and about 5 years",90-day notice period,"Project Management, Vector Representations, Deep Learning, Content Matching, Apache Flink, Feature Engineering, Statistical Modeling, QLoRA, Python, PyTorch","Senior AI Engineer at Adobe: Led the engineering team building infrastructure to surface relevant content to users at scale. The system processed billions of documents and served millions of queries with low latency. Most of the  | Lead AI Engineer at Locobuzz: Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. Worked at the intersection of infrastructure, algorithms, and product jud | Senior Machine Learning Engineer at Google: Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. Worked at the intersection of infrastructure, algorithms, and product jud"
